Filename,x,y,w,h
bdfea255-f9dc-4694-b0fe-d699aec5b10e,38,36,111,81
bdfea255-f9dc-4694-b0fe-d699aec5b10e,38,36,111,81
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,118,127,106,97
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,118,127,106,97
47a15caf-d139-4fa3-956d-6f8afa5ac376,72,45,96,79
47a15caf-d139-4fa3-956d-6f8afa5ac376,72,45,96,79
3397d218-ad10-49dd-a3e0-9b1ee6d3d91d,105,107,119,93
3397d218-ad10-49dd-a3e0-9b1ee6d3d91d,105,107,119,93
b97dadd7-8a4f-4bdf-898e-c59489b8add0,176,171,48,53
b97dadd7-8a4f-4bdf-898e-c59489b8add0,23,29,121,73
b97dadd7-8a4f-4bdf-898e-c59489b8add0,176,171,48,53
b97dadd7-8a4f-4bdf-898e-c59489b8add0,23,29,121,73
b8eef91b-bbe7-443c-9e05-b756108d7344,126,90,98,82
b8eef91b-bbe7-443c-9e05-b756108d7344,126,90,98,82
55d5a0b4-ff06-4c41-8aee-d3d49febd027,123,94,101,94
55d5a0b4-ff06-4c41-8aee-d3d49febd027,123,94,101,94
5c643f67-e321-4f90-bcd0-58c4517561a9,107,33,117,66
5c643f67-e321-4f90-bcd0-58c4517561a9,107,33,117,66
3c2270fa-2323-48c2-a341-1ea0d84d7cee,64,67,86,81
3c2270fa-2323-48c2-a341-1ea0d84d7cee,64,67,86,81
9ebc1edb-315f-4f0f-bc9b-dfa933bc67d3,95,69,106,88
9ebc1edb-315f-4f0f-bc9b-dfa933bc67d3,95,69,106,88
125a6b00-d20c-413e-b5fb-3728fcfce39f,151,72,73,104
125a6b00-d20c-413e-b5fb-3728fcfce39f,151,72,73,104
d6724bee-d28e-4b34-8813-52a86955fa72,65,55,159,82
d6724bee-d28e-4b34-8813-52a86955fa72,65,55,159,82
711b8e6a-0406-4c61-8c13-3e90fd7ecba1,46,95,126,129
711b8e6a-0406-4c61-8c13-3e90fd7ecba1,46,95,126,129
515ab870-a80e-47f1-bd51-05a6fc02cba0,86,66,138,99
515ab870-a80e-47f1-bd51-05a6fc02cba0,86,66,138,99
a9cfed74-19bf-454f-b3a2-32c455a97cc8,71,141,116,83
a9cfed74-19bf-454f-b3a2-32c455a97cc8,71,141,116,83
9dbb7a32-14df-40ca-871e-410111c45c05,42,64,88,81
9dbb7a32-14df-40ca-871e-410111c45c05,42,64,88,81
c28f7725-70a7-4b55-953a-44d28ecdd4fb,130,69,70,80
c28f7725-70a7-4b55-953a-44d28ecdd4fb,130,69,70,80
03ae75b6-45a7-4a68-9871-f07b82b17bf6,121,92,103,88
03ae75b6-45a7-4a68-9871-f07b82b17bf6,121,92,103,88
1563a4ed-d5f5-4e31-8818-c5417109d403,37,109,127,89
1563a4ed-d5f5-4e31-8818-c5417109d403,37,109,127,89
b402b80c-0be4-4c25-80be-d9ace219c83b,35,38,189,186
b402b80c-0be4-4c25-80be-d9ace219c83b,35,38,189,186
a1538feb-5647-463b-9876-ca6e5ff00f48,18,80,163,89
a1538feb-5647-463b-9876-ca6e5ff00f48,18,80,163,89
b41dfb17-3773-485b-8da6-c29a2bbfbe3a,46,79,139,88
b41dfb17-3773-485b-8da6-c29a2bbfbe3a,46,79,139,88
b77669dd-8554-4531-9903-9719747fdb63,17,120,127,104
b77669dd-8554-4531-9903-9719747fdb63,17,120,127,104
3747c54e-e425-451d-90c0-943e99b873d4,0,119,93,73
3747c54e-e425-451d-90c0-943e99b873d4,0,119,93,73
7002c25e-83ce-4af1-9cdb-a9d4899d6104,0,68,185,95
7002c25e-83ce-4af1-9cdb-a9d4899d6104,0,68,185,95
3f040848-3b3f-4cc9-b7e1-eb5bea7a3a7c,112,101,112,123
