Filename,x,y,w,h
bdfea255-f9dc-4694-b0fe-d699aec5b10e,67,130,9,4
bdfea255-f9dc-4694-b0fe-d699aec5b10e,52,119,4,9
bdfea255-f9dc-4694-b0fe-d699aec5b10e,0,117,14,13
bdfea255-f9dc-4694-b0fe-d699aec5b10e,136,83,10,11
bdfea255-f9dc-4694-b0fe-d699aec5b10e,135,66,17,16
bdfea255-f9dc-4694-b0fe-d699aec5b10e,50,66,11,12
bdfea255-f9dc-4694-b0fe-d699aec5b10e,150,58,3,3
bdfea255-f9dc-4694-b0fe-d699aec5b10e,73,58,9,9
bdfea255-f9dc-4694-b0fe-d699aec5b10e,158,54,12,20
bdfea255-f9dc-4694-b0fe-d699aec5b10e,144,52,9,6
bdfea255-f9dc-4694-b0fe-d699aec5b10e,139,49,2,4
bdfea255-f9dc-4694-b0fe-d699aec5b10e,134,43,7,5
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,114,213,14,11
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,135,212,9,10
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,145,189,4,1
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,142,186,2,4
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,109,181,11,11
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,109,166,10,14
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,134,159,3,1
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,122,155,2,2
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,124,154,62,47
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,118,146,6,3
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,150,139,16,13
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,147,130,20,6
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,111,124,9,4
47a15caf-d139-4fa3-956d-6f8afa5ac376,86,127,7,8
47a15caf-d139-4fa3-956d-6f8afa5ac376,43,110,9,10
47a15caf-d139-4fa3-956d-6f8afa5ac376,70,107,1,1
47a15caf-d139-4fa3-956d-6f8afa5ac376,127,89,7,2
47a15caf-d139-4fa3-956d-6f8afa5ac376,127,82,3,6
47a15caf-d139-4fa3-956d-6f8afa5ac376,66,82,67,36
47a15caf-d139-4fa3-956d-6f8afa5ac376,54,79,13,9
47a15caf-d139-4fa3-956d-6f8afa5ac376,114,78,12,10
47a15caf-d139-4fa3-956d-6f8afa5ac376,92,60,29,23
47a15caf-d139-4fa3-956d-6f8afa5ac376,54,59,11,19
3397d218-ad10-49dd-a3e0-9b1ee6d3d91d,147,159,5,5
3397d218-ad10-49dd-a3e0-9b1ee6d3d91d,81,150,8,9
3397d218-ad10-49dd-a3e0-9b1ee6d3d91d,107,148,17,11
3397d218-ad10-49dd-a3e0-9b1ee6d3d91d,108,105,51,41
b97dadd7-8a4f-4bdf-898e-c59489b8add0,141,135,3,6
b97dadd7-8a4f-4bdf-898e-c59489b8add0,145,134,6,6
b97dadd7-8a4f-4bdf-898e-c59489b8add0,135,132,4,5
b97dadd7-8a4f-4bdf-898e-c59489b8add0,109,128,3,9
b97dadd7-8a4f-4bdf-898e-c59489b8add0,114,122,9,9
b8eef91b-bbe7-443c-9e05-b756108d7344,159,91,3,6
b8eef91b-bbe7-443c-9e05-b756108d7344,151,86,10,2
b8eef91b-bbe7-443c-9e05-b756108d7344,0,0,10,16
55d5a0b4-ff06-4c41-8aee-d3d49febd027,114,196,9,9
55d5a0b4-ff06-4c41-8aee-d3d49febd027,115,178,5,2
55d5a0b4-ff06-4c41-8aee-d3d49febd027,201,173,10,10
55d5a0b4-ff06-4c41-8aee-d3d49febd027,190,172,2,2
55d5a0b4-ff06-4c41-8aee-d3d49febd027,162,167,30,22
55d5a0b4-ff06-4c41-8aee-d3d49febd027,214,140,8,5
55d5a0b4-ff06-4c41-8aee-d3d49febd027,166,137,9,10
55d5a0b4-ff06-4c41-8aee-d3d49febd027,59,124,2,6
55d5a0b4-ff06-4c41-8aee-d3d49febd027,111,117,49,62
55d5a0b4-ff06-4c41-8aee-d3d49febd027,55,107,1,8
55d5a0b4-ff06-4c41-8aee-d3d49febd027,118,103,3,9
55d5a0b4-ff06-4c41-8aee-d3d49febd027,150,101,11,11
55d5a0b4-ff06-4c41-8aee-d3d49febd027,164,96,4,2
5c643f67-e321-4f90-bcd0-58c4517561a9,67,131,5,9
5c643f67-e321-4f90-bcd0-58c4517561a9,81,114,10,10
5c643f67-e321-4f90-bcd0-58c4517561a9,42,56,40,33
