Filename,x,y,w,h
bdfea255-f9dc-4694-b0fe-d699aec5b10e,28,119,14,7
bdfea255-f9dc-4694-b0fe-d699aec5b10e,133,28,35,49
bdfea255-f9dc-4694-b0fe-d699aec5b10e,35,21,77,91
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,105,147,7,7
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,112,133,63,56
47a15caf-d139-4fa3-956d-6f8afa5ac376,77,42,91,70
3397d218-ad10-49dd-a3e0-9b1ee6d3d91d,77,98,14,28
3397d218-ad10-49dd-a3e0-9b1ee6d3d91d,105,84,63,91
b97dadd7-8a4f-4bdf-898e-c59489b8add0,154,161,21,14
b97dadd7-8a4f-4bdf-898e-c59489b8add0,140,42,7,21
b97dadd7-8a4f-4bdf-898e-c59489b8add0,35,42,63,63
b8eef91b-bbe7-443c-9e05-b756108d7344,119,84,91,84
55d5a0b4-ff06-4c41-8aee-d3d49febd027,133,98,63,56
5c643f67-e321-4f90-bcd0-58c4517561a9,196,56,7,7
5c643f67-e321-4f90-bcd0-58c4517561a9,77,35,49,63
5c643f67-e321-4f90-bcd0-58c4517561a9,133,28,56,49
3c2270fa-2323-48c2-a341-1ea0d84d7cee,56,105,7,7
3c2270fa-2323-48c2-a341-1ea0d84d7cee,28,84,28,28
3c2270fa-2323-48c2-a341-1ea0d84d7cee,70,70,56,56
3c2270fa-2323-48c2-a341-1ea0d84d7cee,49,70,14,7
3c2270fa-2323-48c2-a341-1ea0d84d7cee,98,56,7,7
9ebc1edb-315f-4f0f-bc9b-dfa933bc67d3,105,56,84,91
125a6b00-d20c-413e-b5fb-3728fcfce39f,189,84,7,7
125a6b00-d20c-413e-b5fb-3728fcfce39f,119,84,56,63
125a6b00-d20c-413e-b5fb-3728fcfce39f,154,70,14,7
d6724bee-d28e-4b34-8813-52a86955fa72,217,133,7,7
d6724bee-d28e-4b34-8813-52a86955fa72,189,119,21,28
d6724bee-d28e-4b34-8813-52a86955fa72,189,105,7,7
d6724bee-d28e-4b34-8813-52a86955fa72,119,84,7,14
d6724bee-d28e-4b34-8813-52a86955fa72,140,63,70,35
d6724bee-d28e-4b34-8813-52a86955fa72,161,56,7,7
d6724bee-d28e-4b34-8813-52a86955fa72,98,56,21,21
d6724bee-d28e-4b34-8813-52a86955fa72,112,49,7,7
d6724bee-d28e-4b34-8813-52a86955fa72,28,28,77,49
711b8e6a-0406-4c61-8c13-3e90fd7ecba1,28,161,21,63
711b8e6a-0406-4c61-8c13-3e90fd7ecba1,28,84,168,98
515ab870-a80e-47f1-bd51-05a6fc02cba0,140,133,7,7
515ab870-a80e-47f1-bd51-05a6fc02cba0,140,98,49,35
a9cfed74-19bf-454f-b3a2-32c455a97cc8,147,196,7,7
a9cfed74-19bf-454f-b3a2-32c455a97cc8,147,182,7,7
a9cfed74-19bf-454f-b3a2-32c455a97cc8,91,140,35,35
a9cfed74-19bf-454f-b3a2-32c455a97cc8,133,112,56,70
9dbb7a32-14df-40ca-871e-410111c45c05,119,70,7,7
9dbb7a32-14df-40ca-871e-410111c45c05,42,56,56,98
c28f7725-70a7-4b55-953a-44d28ecdd4fb,161,133,7,7
c28f7725-70a7-4b55-953a-44d28ecdd4fb,133,126,7,7
c28f7725-70a7-4b55-953a-44d28ecdd4fb,119,126,7,7
c28f7725-70a7-4b55-953a-44d28ecdd4fb,168,112,7,14
c28f7725-70a7-4b55-953a-44d28ecdd4fb,126,70,63,42
c28f7725-70a7-4b55-953a-44d28ecdd4fb,126,70,7,7
c28f7725-70a7-4b55-953a-44d28ecdd4fb,140,49,28,14
03ae75b6-45a7-4a68-9871-f07b82b17bf6,196,126,7,28
03ae75b6-45a7-4a68-9871-f07b82b17bf6,140,91,49,56
03ae75b6-45a7-4a68-9871-f07b82b17bf6,133,77,14,21
1563a4ed-d5f5-4e31-8818-c5417109d403,133,126,7,7
1563a4ed-d5f5-4e31-8818-c5417109d403,42,105,56,56
b402b80c-0be4-4c25-80be-d9ace219c83b,147,133,42,49
b402b80c-0be4-4c25-80be-d9ace219c83b,42,49,49,35
a1538feb-5647-463b-9876-ca6e5ff00f48,98,77,56,49
b41dfb17-3773-485b-8da6-c29a2bbfbe3a,42,105,28,42
b41dfb17-3773-485b-8da6-c29a2bbfbe3a,112,77,63,84
b77669dd-8554-4531-9903-9719747fdb63,70,168,7,7
b77669dd-8554-4531-9903-9719747fdb63,35,133,70,42
b77669dd-8554-4531-9903-9719747fdb63,112,119,28,35
b77669dd-8554-4531-9903-9719747fdb63,84,119,14,7
3747c54e-e425-451d-90c0-943e99b873d4,7,182,21,35
3747c54e-e425-451d-90c0-943e99b873d4,21,105,70,63
7002c25e-83ce-4af1-9cdb-a9d4899d6104,105,70,63,77
3f040848-3b3f-4cc9-b7e1-eb5bea7a3a7c,168,112,7,14
3f040848-3b3f-4cc9-b7e1-eb5bea7a3a7c,133,105,42,77
3f040848-3b3f-4cc9-b7e1-eb5bea7a3a7c,133,91,7,7
