Filename,x,y,w,h
bdfea255-f9dc-4694-b0fe-d699aec5b10e,135,56,1,15
bdfea255-f9dc-4694-b0fe-d699aec5b10e,144,31,24,48
bdfea255-f9dc-4694-b0fe-d699aec5b10e,39,31,1,1
bdfea255-f9dc-4694-b0fe-d699aec5b10e,40,24,79,88
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,135,56,1,15
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,144,31,24,48
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,39,31,1,1
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,40,24,79,88
47a15caf-d139-4fa3-956d-6f8afa5ac376,135,56,1,15
47a15caf-d139-4fa3-956d-6f8afa5ac376,144,31,24,48
47a15caf-d139-4fa3-956d-6f8afa5ac376,39,31,1,1
47a15caf-d139-4fa3-956d-6f8afa5ac376,40,24,79,88
3397d218-ad10-49dd-a3e0-9b1ee6d3d91d,135,56,1,15
3397d218-ad10-49dd-a3e0-9b1ee6d3d91d,144,31,24,48
3397d218-ad10-49dd-a3e0-9b1ee6d3d91d,39,31,1,1
3397d218-ad10-49dd-a3e0-9b1ee6d3d91d,40,24,79,88
b97dadd7-8a4f-4bdf-898e-c59489b8add0,135,56,1,15
b97dadd7-8a4f-4bdf-898e-c59489b8add0,144,31,24,48
b97dadd7-8a4f-4bdf-898e-c59489b8add0,39,31,1,1
b97dadd7-8a4f-4bdf-898e-c59489b8add0,40,24,79,88
b8eef91b-bbe7-443c-9e05-b756108d7344,135,56,1,15
b8eef91b-bbe7-443c-9e05-b756108d7344,144,31,24,48
b8eef91b-bbe7-443c-9e05-b756108d7344,39,31,1,1
b8eef91b-bbe7-443c-9e05-b756108d7344,40,24,79,88
55d5a0b4-ff06-4c41-8aee-d3d49febd027,135,56,1,15
55d5a0b4-ff06-4c41-8aee-d3d49febd027,144,31,24,48
55d5a0b4-ff06-4c41-8aee-d3d49febd027,39,31,1,1
55d5a0b4-ff06-4c41-8aee-d3d49febd027,40,24,79,88
5c643f67-e321-4f90-bcd0-58c4517561a9,135,56,1,15
5c643f67-e321-4f90-bcd0-58c4517561a9,144,31,24,48
5c643f67-e321-4f90-bcd0-58c4517561a9,39,31,1,1
5c643f67-e321-4f90-bcd0-58c4517561a9,40,24,79,88
3c2270fa-2323-48c2-a341-1ea0d84d7cee,135,56,1,15
