Filename,x,y,w,h
bdfea255-f9dc-4694-b0fe-d699aec5b10e,134,62,18,20
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,132,170,38,19
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,174,165,8,6
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,135,147,1,3
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,156,146,12,12
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,126,146,28,26
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,123,146,2,4
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,127,141,6,9
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,157,133,10,10
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,172,124,12,12
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,149,114,11,12
a28266ba-94b1-4789-88e7-e7a1c4bc6d0d,149,99,13,13
47a15caf-d139-4fa3-956d-6f8afa5ac376,106,102,11,12
47a15caf-d139-4fa3-956d-6f8afa5ac376,101,102,1,6
47a15caf-d139-4fa3-956d-6f8afa5ac376,61,87,9,9
47a15caf-d139-4fa3-956d-6f8afa5ac376,170,82,11,11
47a15caf-d139-4fa3-956d-6f8afa5ac376,46,74,17,12
47a15caf-d139-4fa3-956d-6f8afa5ac376,175,66,9,10
47a15caf-d139-4fa3-956d-6f8afa5ac376,102,66,23,23
47a15caf-d139-4fa3-956d-6f8afa5ac376,74,58,28,43
47a15caf-d139-4fa3-956d-6f8afa5ac376,54,58,19,12
3397d218-ad10-49dd-a3e0-9b1ee6d3d91d,126,148,12,10
3397d218-ad10-49dd-a3e0-9b1ee6d3d91d,147,147,3,5
3397d218-ad10-49dd-a3e0-9b1ee6d3d91d,107,109,66,41
3397d218-ad10-49dd-a3e0-9b1ee6d3d91d,126,94,23,16
b97dadd7-8a4f-4bdf-898e-c59489b8add0,166,170,10,10
b97dadd7-8a4f-4bdf-898e-c59489b8add0,162,146,16,14
b97dadd7-8a4f-4bdf-898e-c59489b8add0,35,76,9,10
b97dadd7-8a4f-4bdf-898e-c59489b8add0,170,74,11,11
b97dadd7-8a4f-4bdf-898e-c59489b8add0,52,60,29,36
b97dadd7-8a4f-4bdf-898e-c59489b8add0,79,52,7,8
b97dadd7-8a4f-4bdf-898e-c59489b8add0,63,42,15,21
b97dadd7-8a4f-4bdf-898e-c59489b8add0,78,38,10,11
b8eef91b-bbe7-443c-9e05-b756108d7344,134,159,10,10
b8eef91b-bbe7-443c-9e05-b756108d7344,149,124,19,12
b8eef91b-bbe7-443c-9e05-b756108d7344,180,122,12,22
b8eef91b-bbe7-443c-9e05-b756108d7344,150,94,11,11
b8eef91b-bbe7-443c-9e05-b756108d7344,172,90,10,11
55d5a0b4-ff06-4c41-8aee-d3d49febd027,142,165,6,8
55d5a0b4-ff06-4c41-8aee-d3d49febd027,79,157,9,3
55d5a0b4-ff06-4c41-8aee-d3d49febd027,163,148,5,4
55d5a0b4-ff06-4c41-8aee-d3d49febd027,58,147,11,10
55d5a0b4-ff06-4c41-8aee-d3d49febd027,170,143,2,1
55d5a0b4-ff06-4c41-8aee-d3d49febd027,163,143,4,3
55d5a0b4-ff06-4c41-8aee-d3d49febd027,149,139,1,1
55d5a0b4-ff06-4c41-8aee-d3d49febd027,181,134,1,4
55d5a0b4-ff06-4c41-8aee-d3d49febd027,130,130,18,22
55d5a0b4-ff06-4c41-8aee-d3d49febd027,173,127,4,6
55d5a0b4-ff06-4c41-8aee-d3d49febd027,181,115,9,9
55d5a0b4-ff06-4c41-8aee-d3d49febd027,162,110,12,11
55d5a0b4-ff06-4c41-8aee-d3d49febd027,122,100,44,42
5c643f67-e321-4f90-bcd0-58c4517561a9,38,75,18,14
5c643f67-e321-4f90-bcd0-58c4517561a9,58,70,11,11
5c643f67-e321-4f90-bcd0-58c4517561a9,140,66,22,28
5c643f67-e321-4f90-bcd0-58c4517561a9,124,60,12,12
5c643f67-e321-4f90-bcd0-58c4517561a9,68,52,21,12
5c643f67-e321-4f90-bcd0-58c4517561a9,171,51,9,9
5c643f67-e321-4f90-bcd0-58c4517561a9,157,45,11,17
3c2270fa-2323-48c2-a341-1ea0d84d7cee,82,126,11,11
3c2270fa-2323-48c2-a341-1ea0d84d7cee,100,123,10,11
3c2270fa-2323-48c2-a341-1ea0d84d7cee,86,108,12,12
3c2270fa-2323-48c2-a341-1ea0d84d7cee,75,103,9,9
3c2270fa-2323-48c2-a341-1ea0d84d7cee,116,90,10,10
3c2270fa-2323-48c2-a341-1ea0d84d7cee,87,79,25,23
3c2270fa-2323-48c2-a341-1ea0d84d7cee,107,66,10,11
3c2270fa-2323-48c2-a341-1ea0d84d7cee,52,66,36,29
9ebc1edb-315f-4f0f-bc9b-dfa933bc67d3,125,138,13,12
9ebc1edb-315f-4f0f-bc9b-dfa933bc67d3,44,130,12,12
9ebc1edb-315f-4f0f-bc9b-dfa933bc67d3,63,94,9,10
9ebc1edb-315f-4f0f-bc9b-dfa933bc67d3,123,90,54,39
9ebc1edb-315f-4f0f-bc9b-dfa933bc67d3,75,87,9,10
9ebc1edb-315f-4f0f-bc9b-dfa933bc67d3,147,79,9,9
9ebc1edb-315f-4f0f-bc9b-dfa933bc67d3,46,77,10,9
9ebc1edb-315f-4f0f-bc9b-dfa933bc67d3,146,66,12,12
9ebc1edb-315f-4f0f-bc9b-dfa933bc67d3,118,60,10,11
